team_name,sprint_id,sprint_name,sprint_start_date,sprint_end_date,sprint_sequence,sprint_length_weeks,quarter_label,quarter_start_date,quarter_end_date
Team ASAP,8078,ASAP - 25Q4S1,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,1,2,2025-Q4,2025-10-01,2025-12-31
Team ASAP,8177,ASAP - 25Q4S2,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2,2,2025-Q4,2025-10-01,2025-12-31
Team ASAP,8375,ASAP - 25Q4S3,2025-10-29T16:47:39.354Z,2025-11-04T06:00:00.000Z,3,2,2025-Q4,2025-10-01,2025-12-31
Team ASAP,8540,ASAP - 25Q4S4,2025-11-12T16:29:24.838Z,2025-11-25T06:00:00.000Z,4,2,2025-Q4,2025-10-01,2025-12-31
Team ASAP,8672,ASAP - 25Q4S5,2025-11-26T16:27:44.830Z,2025-12-10T00:00:00.000Z,5,2,2025-Q4,2025-10-01,2025-12-31
Team ASAP,8876,ASAP - 25Q4S6,2025-12-10T16:13:19.520Z,2025-12-23T06:00:00.000Z,6,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,6527,CXP25Q4 - Sprint 1,2025-10-01T18:46:46.889Z,2025-10-15T07:00:00.000Z,1,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,7682,CXP25Q4 - Sprint 2,2025-10-17T18:54:53.504Z,2025-10-29T07:00:00.000Z,2,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,7683,CXP25Q4 - Sprint 3,2025-10-29T16:57:26.827Z,2025-11-12T07:00:00.000Z,3,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,7684,CXP25Q4 - Sprint 4,2025-11-13T14:02:13.691Z,2025-11-27T07:00:00.000Z,4,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,7685,CXP25Q4 - Sprint 5,2025-11-26T21:34:33.323Z,2025-12-10T21:34:24.000Z,5,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,7686,CXP25Q4 - Sprint 6,2025-12-11T14:06:07.000Z,2026-01-07T08:00:00.000Z,6,2,2025-Q4,2025-10-01,2025-12-31
Team Connexpoint,7687,CXP25Q4 - Sprint 0,2025-09-25T11:47:24.889Z,2025-10-01T07:00:00.000Z,0,2,2025-Q4,2025-10-01,2025-12-31
Team Smartcare,7847,VC 25Q4S1,2025-10-01T14:40:21.886Z,2025-10-15T07:00:00.000Z,1,2,2025-Q4,2025-10-01,2025-12-31
Team Smartcare,7881,VC 25Q4S2,2025-10-15T14:44:53.152Z,2025-10-29T04:00:00.000Z,2,2,2025-Q4,2025-10-01,2025-12-31
Team Smartcare,7882,VC 25Q4S3,2025-10-29T15:21:21.854Z,2025-11-12T04:00:00.000Z,3,2,2025-Q4,2025-10-01,2025-12-31
Team Smartcare,7883,VC 25Q4S4,2025-11-12T16:02:52.465Z,2025-11-26T04:00:00.000Z,4,2,2025-Q4,2025-10-01,2025-12-31
Team Smartcare,7884,VC 25Q4S5,2025-11-26T15:26:53.997Z,2025-12-10T04:00:00.000Z,5,2,2025-Q4,2025-10-01,2025-12-31
Team Smartcare,7885,VC 25Q4S6,2025-12-10T15:19:12.658Z,2025-12-24T04:00:00.000Z,6,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7750,WS25Q4S1 - Talented TOOL,2025-10-01T17:00:00.000Z,2025-10-15T17:00:00.000Z,1,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7751,WS25Q4S2 - Useful Ukulele DS,2025-10-15T16:23:43.124Z,2025-10-29T16:30:00.000Z,2,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7752,WS25Q4S3 - Vigorous VicenteFdz,2025-10-29T16:03:49.443Z,2025-11-12T16:00:00.000Z,3,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7753,WS25Q4S4 - Wacky Weird Al,2025-11-12T17:15:07.250Z,2025-11-26T17:30:00.000Z,4,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7754,WS25Q4S5 - Xenial The XX,2025-11-26T17:00:16.262Z,2025-12-10T17:00:00.000Z,5,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7755,WS25Q4S6 - Zextastic Zoé,2025-12-10T17:00:00.000Z,2025-12-24T17:00:00.000Z,6,2,2025-Q4,2025-10-01,2025-12-31
Team Webstore,7814,WS25Q4S0,2025-09-24T15:31:19.385Z,2025-10-01T05:00:00.000Z,0,2,2025-Q4,2025-10-01,2025-12-31
