team_name,sprint_id,sprint_name,quarter_label,velocity_points,velocity_source,last_refresh_utc
Team ASAP,5801,ASAP - 25Q2S1 04/02- 04/15,2025-Q2,3,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,5802,ASAP - 25Q2S2 04/16- 04/29,2025-Q2,11,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,5900,ASAP - 25Q2S3 04/30 - 05/13,2025-Q2,5,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,5901,ASAP - 25Q2S4 05/14 - 05/27,2025-Q2,21,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,5902,ASAP - 25Q2S5 05/16 - 06/10,2025-Q2,3,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,5903,ASAP - 25Q2S6 06/ - 06/24,2025-Q2,23,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Connexpoint,5141,CXP25Q2 - Sprint 1,2025-Q2,11,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,5142,CXP25Q2 - Sprint 2,2025-Q2,16,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,5143,CXP25Q2 - Sprint 3,2025-Q2,26,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,5144,CXP25Q2 - Sprint 4,2025-Q2,0,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,5145,CXP25Q2 - Sprint 5,2025-Q2,16,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,5146,CXP25Q2 - Sprint 6,2025-Q2,8,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,5702,CXP25Q2 - Sprint 0,2025-Q2,18,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Smartcare,5670,VC 25Q2S6,2025-Q2,0,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,5671,VC 25Q2S5,2025-Q2,6,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,5672,VC 25Q2S4,2025-Q2,13,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,5673,VC 25Q2S3,2025-Q2,19,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,5674,VC 25Q2S1,2025-Q2,58,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,5676,VC 25Q2S2,2025-Q2,11,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,5966,WS25Q2S2 - Inexhaustible INXS,2025-Q2,38,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,6065,WS25Q2S3 - Jaded Johnny Cash,2025-Q2,20,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,6297,WS25Q2S4 - Krazy KISS,2025-Q2,39,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,6362,WS25Q2S4 - Lujoso Luis Miguel,2025-Q2,55,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,6593,WS25Q2S4-Mad Mozart,2025-Q2,31,calculated_completed_points,2026-06-10T00:04:52.036Z
