team_name,sprint_id,sprint_name,sprint_start_date,sprint_end_date,sprint_sequence,sprint_length_weeks,quarter_label,quarter_start_date,quarter_end_date
Team ASAP,4384,ASAP - 25Q1S1 01/01- 01/14,2025-01-02T14:23:32.094Z,2025-01-15T06:00:00.000Z,1,2,2025-Q1,2025-01-01,2025-03-31
Team ASAP,4712,ASAP - 25Q1S2 01/15 - 01/28,2025-01-15T14:56:02.131Z,2025-01-28T06:00:00.000Z,2,2,2025-Q1,2025-01-01,2025-03-31
Team ASAP,4812,ASAP - 25Q1S3 01/29 - 02/11,2025-01-29T21:41:11.875Z,2025-02-11T06:00:00.000Z,3,2,2025-Q1,2025-01-01,2025-03-31
Team ASAP,5075,ASAP - 25Q1S4 02/12 - 02/25,2025-02-12T15:41:27.000Z,2025-02-25T06:00:00.000Z,4,2,2025-Q1,2025-01-01,2025-03-31
Team ASAP,5174,ASAP - 25Q1S5 02/26 - 03/11,2025-02-26T15:34:06.300Z,2025-03-11T06:00:00.000Z,5,2,2025-Q1,2025-01-01,2025-03-31
Team ASAP,5274,ASAP - 25Q1S6 03/12- 03/25,2025-03-12T16:06:07.969Z,2025-03-25T06:00:00.000Z,6,2,2025-Q1,2025-01-01,2025-03-31
Team Connexpoint,4284,CXP25Q1 - Sp 1,2025-01-02T18:48:25.581Z,2025-01-15T20:00:00.000Z,1,2,2025-Q1,2025-01-01,2025-03-31
Team Connexpoint,4285,CXP25Q1 - Sp 2,2025-01-15T18:49:55.169Z,2025-01-29T18:49:18.000Z,2,2,2025-Q1,2025-01-01,2025-03-31
Team Connexpoint,4286,CXP25Q1 - Sp 3,2025-01-29T18:06:46.738Z,2025-02-12T18:06:40.000Z,3,2,2025-Q1,2025-01-01,2025-03-31
Team Connexpoint,4287,CXP25Q1 - Sp 4,2025-02-12T18:42:04.465Z,2025-02-26T18:42:23.000Z,4,2,2025-Q1,2025-01-01,2025-03-31
Team Connexpoint,4288,CXP25Q1 - Sp 5,2025-02-26T18:11:42.918Z,2025-03-12T08:00:00.000Z,5,2,2025-Q1,2025-01-01,2025-03-31
Team Connexpoint,4289,CXP25Q1 - Sp 6,2025-03-12T17:31:43.427Z,2025-03-26T08:00:00.000Z,6,2,2025-Q1,2025-01-01,2025-03-31
Team Smartcare,5009,VC 25Q1S4,2025-02-12T15:24:40.000Z,2025-02-26T05:00:00.000Z,1,2,2025-Q1,2025-01-01,2025-03-31
Team Smartcare,5240,VC 25Q1S5 - 02/26 - 03/11,2025-02-26T15:31:29.000Z,2025-03-12T05:00:00.000Z,2,2,2025-Q1,2025-01-01,2025-03-31
Team Smartcare,5306,VC 25Q1S6 - 03/12 - 03/25,2025-03-12T15:12:36.991Z,2025-03-25T08:00:00.000Z,3,2,2025-Q1,2025-01-01,2025-03-31
Team Webstore,4515,WS25Q1S1 - Angelic Avicii,2025-01-02T17:00:16.716Z,2025-01-15T17:00:00.000Z,1,2,2025-Q1,2025-01-01,2025-03-31
Team Webstore,4580,WS25Q1S2-Basic Backstreet Boys,2025-01-15T17:00:00.000Z,2025-01-29T17:00:00.000Z,2,2,2025-Q1,2025-01-01,2025-03-31
Team Webstore,4910,WS25Q1S3-Cringe Chumbawumba,2025-01-29T17:00:19.946Z,2025-02-12T17:00:00.000Z,3,2,2025-Q1,2025-01-01,2025-03-31
Team Webstore,5042,WS25Q1S4-Daft Daft Punk,2025-02-12T16:42:26.237Z,2025-02-26T16:30:00.000Z,4,2,2025-Q1,2025-01-01,2025-03-31
Team Webstore,5273,WS25Q1S5-Elvish Elvis,2025-02-26T16:55:37.118Z,2025-03-12T17:00:00.000Z,5,2,2025-Q1,2025-01-01,2025-03-31
Team Webstore,5405,WS25Q1S6-Flying Foo Fighters,2025-03-12T15:53:59.038Z,2025-03-26T16:00:00.000Z,6,2,2025-Q1,2025-01-01,2025-03-31
