team_name,sprint_id,sprint_name,quarter_label,velocity_points,velocity_source,last_refresh_utc
Team ASAP,5867,ASAP - 25Q3S1 07/02 - 07/15,2025-Q3,16,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,6695,ASAP - 25Q3S2 07/16 - 07/29,2025-Q3,13,calculated_completed_points,2026-06-10T00:04:52.036Z
Team ASAP,6696,ASAP - 25Q3S3 07/30 - 08/12,2025-Q3,12,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Connexpoint,6626,CXP25Q3 - Sprint 0,2025-Q3,15,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,6627,CXP25Q3 - Sprint 1,2025-Q3,41,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,6628,CXP25Q3 - Sprint 2,2025-Q3,23,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,6629,CXP25Q3 - Sprint 3,2025-Q3,9,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,6630,CXP25Q3 - Sprint 4,2025-Q3,26,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,6631,CXP25Q3 - Sprint 5,2025-Q3,9,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Connexpoint,6632,CXP25Q3 - Sprint 6,2025-Q3,15,velocity_issue_types,2026-06-10T00:04:52.036Z
Team Smartcare,6791,VC 25Q3S1,2025-Q3,3,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,6862,VC 25Q3S2,2025-Q3,2,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,6863,VC 25Q3S3,2025-Q3,17,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,6865,VC 25Q3S4,2025-Q3,5,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,6866,VC 25Q3S5,2025-Q3,7,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Smartcare,6867,VC 25Q3S6,2025-Q3,11,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,6870,WS25Q3S1-Nimble NIN,2025-Q3,53,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,7088,WS25Q3S2-Outstanding Otis,2025-Q3,20,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,7121,WS25Q3S3 - Peaceful Pink Floyd,2025-Q3,51,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,7484,WS25Q3S4-Quintessential Queen,2025-Q3,51,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,7616,WS25Q3S5-Recalcitrant RATM,2025-Q3,38,calculated_completed_points,2026-06-10T00:04:52.036Z
Team Webstore,7688,WS25Q3S6-Smoky Snoop Dogg,2025-Q3,8,calculated_completed_points,2026-06-10T00:04:52.036Z
