team_name,sprint_id,sprint_name,sprint_start_date,sprint_end_date,sprint_sequence,sprint_length_weeks,quarter_label,quarter_start_date,quarter_end_date
Team ASAP,5801,ASAP - 25Q2S1 04/02- 04/15,2025-04-02T21:22:33.864Z,2025-04-15T06:00:00.000Z,1,2,2025-Q2,2025-04-01,2025-06-30
Team ASAP,5802,ASAP - 25Q2S2 04/16- 04/29,2025-04-16T15:30:28.528Z,2025-04-29T06:00:00.000Z,2,2,2025-Q2,2025-04-01,2025-06-30
Team ASAP,5900,ASAP - 25Q2S3 04/30 - 05/13,2025-04-30T16:01:04.659Z,2025-05-13T06:00:00.000Z,3,2,2025-Q2,2025-04-01,2025-06-30
Team ASAP,5901,ASAP - 25Q2S4 05/14 - 05/27,2025-05-14T15:49:27.665Z,2025-05-27T06:00:00.000Z,4,2,2025-Q2,2025-04-01,2025-06-30
Team ASAP,5902,ASAP - 25Q2S5 05/16 - 06/10,2025-05-28T15:28:18.658Z,2025-06-10T06:00:00.000Z,5,2,2025-Q2,2025-04-01,2025-06-30
Team ASAP,5903,ASAP - 25Q2S6 06/ - 06/24,2025-06-11T15:24:19.850Z,2025-06-25T06:00:00.000Z,6,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5141,CXP25Q2 - Sprint 1,2025-04-02T16:42:43.539Z,2025-04-16T08:00:00.000Z,1,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5142,CXP25Q2 - Sprint 2,2025-04-17T13:51:27.556Z,2025-04-30T08:00:00.000Z,2,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5143,CXP25Q2 - Sprint 3,2025-04-30T20:24:10.004Z,2025-05-14T08:00:00.000Z,3,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5144,CXP25Q2 - Sprint 4,2025-05-14T17:56:05.596Z,2025-05-28T08:00:00.000Z,4,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5145,CXP25Q2 - Sprint 5,2025-05-28T18:35:45.010Z,2025-06-11T08:00:00.000Z,5,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5146,CXP25Q2 - Sprint 6,2025-06-12T16:12:00.155Z,2025-06-25T16:12:00.000Z,6,2,2025-Q2,2025-04-01,2025-06-30
Team Connexpoint,5702,CXP25Q2 - Sprint 0,2025-03-26T16:57:07.509Z,2025-04-02T08:00:00.000Z,0,2,2025-Q2,2025-04-01,2025-06-30
Team Smartcare,5670,VC 25Q2S6,2025-06-11T15:11:54.588Z,2025-06-25T04:00:00.000Z,6,2,2025-Q2,2025-04-01,2025-06-30
Team Smartcare,5671,VC 25Q2S5,2025-05-28T14:49:46.684Z,2025-06-11T04:00:00.000Z,5,2,2025-Q2,2025-04-01,2025-06-30
Team Smartcare,5672,VC 25Q2S4,2025-05-14T15:08:18.841Z,2025-05-28T04:00:00.000Z,4,2,2025-Q2,2025-04-01,2025-06-30
Team Smartcare,5673,VC 25Q2S3,2025-04-30T15:00:34.756Z,2025-05-14T04:00:00.000Z,3,2,2025-Q2,2025-04-01,2025-06-30
Team Smartcare,5674,VC 25Q2S1,2025-04-02T14:58:17.989Z,2025-04-16T14:56:32.000Z,1,2,2025-Q2,2025-04-01,2025-06-30
Team Smartcare,5676,VC 25Q2S2,2025-04-16T14:25:16.584Z,2025-04-30T04:00:00.000Z,2,2,2025-Q2,2025-04-01,2025-06-30
Team Webstore,5966,WS25Q2S2 - Inexhaustible INXS,2025-04-16T16:00:00.000Z,2025-04-30T16:00:00.000Z,2,2,2025-Q2,2025-04-01,2025-06-30
Team Webstore,6065,WS25Q2S3 - Jaded Johnny Cash,2025-04-30T16:09:11.058Z,2025-05-14T16:00:00.000Z,3,2,2025-Q2,2025-04-01,2025-06-30
Team Webstore,6297,WS25Q2S4 - Krazy KISS,2025-05-14T16:01:03.636Z,2025-05-28T16:00:00.000Z,4,2,2025-Q2,2025-04-01,2025-06-30
Team Webstore,6362,WS25Q2S4 - Lujoso Luis Miguel,2025-05-28T16:06:54.353Z,2025-06-11T16:00:00.000Z,4,2,2025-Q2,2025-04-01,2025-06-30
Team Webstore,6593,WS25Q2S4-Mad Mozart,2025-06-11T16:15:58.474Z,2025-06-25T16:00:00.000Z,4,2,2025-Q2,2025-04-01,2025-06-30
